machine_id,timestamp,temperature,pressure,vibration,acoustic,operational_hours,maintenance_performed
MCH-105,2021-11-19T01:30:21Z,92,181,0.006,25,1472,0
MCH-106,2020-02-15T15:25:23Z,89,169,0.005,27,1887,0
MCH-107,2021-03-02T23:39:40Z,90,171,0.004,20,1405,1
MCH-108,2021-10-20T22:16:29Z,86,181,0.009,20,1071,1
MCH-109,2019-06-17T21:09:33Z,84,188,0.012,19,1907,0
MCH-110,2020-03-02T14:13:19Z,86,177,0.003,27,1039,0
MCH-111,2023-06-06T10:29:28Z,81,171,0.003,23,1057,1
MCH-112,2019-12-24T10:34:55Z,92,179,0.01,21,1282,0
MCH-113,2022-03-26T15:36:59Z,91,170,0.003,23,1689,0
MCH-114,2019-02-24T20:12:10Z,94,189,0.008,21,1626,0
MCH-115,2023-09-04T18:17:33Z,89,183,0.007,26,1806,1
MCH-116,2019-09-17T21:02:54Z,85,176,0.005,27,1211,1
MCH-117,2021-12-23T03:27:18Z,81,177,0.007,21,1817,0
MCH-118,2023-09-02T23:08:56Z,88,172,0.006,24,1456,1
MCH-119,2023-08-24T14:44:37Z,83,178,0.005,26,1469,1
MCH-120,2019-10-13T16:51:11Z,88,168,0.002,22,1330,0
MCH-121,2022-06-04T12:57:39Z,81,174,0.006,21,1517,1
MCH-122,2023-01-03T03:39:22Z,90,185,0.002,19,1258,0
MCH-123,2020-02-02T04:23:32Z,94,174,0.007,20,1933,1
MCH-124,2020-02-20T11:23:04Z,89,184,0.004,18,1699,0
MCH-125,2023-10-19T17:38:49Z,82,177,0.01,18,1041,1
MCH-126,2019-02-16T10:10:13Z,82,190,0.011,27,1225,0
MCH-127,2019-10-03T17:23:12Z,82,178,0.002,24,1909,1
MCH-128,2019-10-19T19:42:52Z,91,176,0.005,27,1282,1
MCH-129,2022-10-08T10:42:07Z,84,186,0.003,25,1541,1
MCH-130,2023-07-07T13:51:52Z,88,175,0.007,24,1759,1
MCH-131,2022-08-18T03:11:19Z,93,182,0.008,19,1267,1
MCH-132,2020-03-07T13:46:03Z,91,175,0.004,26,1162,0
MCH-133,2022-05-09T18:53:18Z,91,178,0.006,20,1762,0
MCH-134,2020-01-21T01:53:04Z,87,175,0.007,18,1095,0
MCH-135,2019-04-13T09:59:11Z,94,177,0.01,23,1203,0
MCH-136,2022-03-20T23:52:38Z,90,188,0.012,24,1291,0
MCH-137,2019-06-01T00:34:04Z,82,170,0.007,20,1451,1
MCH-138,2019-09-06T20:27:09Z,85,168,0.003,18,1785,0
MCH-139,2023-08-20T20:22:36Z,87,174,0.01,20,1803,1
MCH-140,2022-01-26T23:13:33Z,93,171,0.012,21,1122,1
MCH-141,2023-11-28T14:30:39Z,89,170,0.009,23,1854,0
MCH-142,2019-07-08T20:35:51Z,93,190,0.011,25,1453,0
MCH-143,2020-02-26T20:16:47Z,86,172,0.01,26,1698,0
MCH-144,2021-04-15T08:20:03Z,90,185,0.003,21,1551,0
MCH-145,2022-10-07T02:25:14Z,86,170,0.008,26,1237,1
MCH-146,2019-10-27T03:28:47Z,87,173,0.003,19,1124,1
MCH-147,2020-11-15T19:49:29Z,90,185,0.006,19,1094,0
MCH-148,2021-10-20T09:08:00Z,91,170,0.012,18,1301,1
MCH-149,2022-10-22T20:20:22Z,89,180,0.006,21,1657,1
MCH-150,2022-09-03T06:00:48Z,93,172,0.01,27,1474,0
MCH-151,2019-03-14T13:30:32Z,83,189,0.009,25,1556,0
MCH-152,2020-02-09T08:36:54Z,92,170,0.012,26,1910,1
MCH-153,2021-10-02T16:18:02Z,82,182,0.006,21,1495,0
MCH-154,2021-05-22T01:40:02Z,82,180,0.007,19,1628,0
MCH-155,2019-11-05T20:19:30Z,88,182,0.007,25,1480,1
MCH-156,2019-08-11T23:16:11Z,89,176,0.002,25,1508,1
MCH-157,2022-06-25T02:27:58Z,90,173,0.01,23,1175,1
MCH-158,2020-05-24T15:11:34Z,86,173,0.003,22,1482,1
MCH-159,2021-03-22T16:48:41Z,90,179,0.01,19,1930,1
MCH-160,2021-09-15T15:44:33Z,86,179,0.004,26,1919,0
MCH-161,2023-10-28T09:39:26Z,94,169,0.003,27,1950,0
MCH-162,2020-10-17T16:12:20Z,86,169,0.012,23,1924,0
MCH-163,2019-12-20T09:57:53Z,89,171,0.011,22,1230,0
MCH-164,2021-01-28T20:59:39Z,85,185,0.003,22,1208,1
MCH-165,2019-09-10T10:09:22Z,92,182,0.004,23,1987,1
MCH-166,2023-09-23T13:30:36Z,88,170,0.003,19,1072,0
MCH-167,2021-06-04T06:01:48Z,90,170,0.012,22,1505,0
MCH-168,2021-08-10T00:31:14Z,86,189,0.011,23,1032,0
MCH-169,2023-04-24T12:04:56Z,88,174,0.005,19,1985,1
MCH-170,2020-08-17T07:53:21Z,81,179,0.008,25,1927,0
MCH-171,2021-05-20T19:42:43Z,85,188,0.006,22,1442,1
MCH-172,2022-10-02T21:39:33Z,94,187,0.011,21,1745,1
MCH-173,2021-03-03T00:07:41Z,85,170,0.011,27,1106,0
MCH-174,2020-09-10T19:26:54Z,92,188,0.01,25,1929,1
MCH-175,2023-06-20T03:45:05Z,82,187,0.008,22,1038,0
MCH-176,2023-11-04T13:33:46Z,89,186,0.012,26,1976,0
MCH-177,2022-08-25T08:55:30Z,87,170,0.011,22,1493,1
MCH-178,2022-12-14T04:45:59Z,91,184,0.008,23,1325,0
MCH-179,2019-12-26T03:27:47Z,86,171,0.007,24,1174,1
MCH-180,2023-08-28T04:03:06Z,91,182,0.009,19,1491,0
MCH-181,2023-02-26T16:24:38Z,82,172,0.01,24,1725,1
MCH-182,2021-12-09T10:19:07Z,86,171,0.009,19,1447,1
MCH-183,2021-05-01T09:09:38Z,87,183,0.006,26,1194,0
MCH-184,2022-03-18T11:12:47Z,91,171,0.01,18,1142,0
MCH-185,2022-05-01T15:04:20Z,85,184,0.008,18,1971,0
MCH-186,2023-05-24T17:16:33Z,82,177,0.011,22,1904,0
MCH-187,2019-07-01T00:20:32Z,89,190,0.003,23,1433,0
MCH-188,2022-09-09T14:48:00Z,82,173,0.009,18,1857,1
MCH-189,2021-02-02T01:18:27Z,87,170,0.008,24,1440,0
MCH-190,2022-04-03T16:46:22Z,82,187,0.005,27,1243,0
MCH-191,2022-06-24T03:19:19Z,91,187,0.006,19,1915,1
MCH-192,2020-01-09T03:30:23Z,94,180,0.012,21,1637,0
MCH-193,2022-08-06T15:45:31Z,94,189,0.003,26,1789,1
MCH-194,2020-12-01T07:46:04Z,92,190,0.012,23,1662,0
MCH-195,2019-03-06T00:32:52Z,89,174,0.008,18,1021,0
MCH-196,2023-03-01T23:53:56Z,92,185,0.003,23,1587,0
MCH-197,2022-06-02T05:00:50Z,91,182,0.01,22,1024,0
MCH-198,2020-02-06T00:43:55Z,81,169,0.002,22,1033,0
MCH-199,2023-04-17T03:41:27Z,94,185,0.011,21,1522,1
MCH-200,2019-03-25T21:41:19Z,88,188,0.009,24,1018,1
MCH-201,2021-06-27T16:07:10Z,85,188,0.007,27,1436,1
MCH-202,2022-04-16T03:38:23Z,91,185,0.002,25,1796,1
MCH-203,2020-04-11T13:03:36Z,81,181,0.007,23,1829,1
MCH-204,2023-11-03T01:22:29Z,87,177,0.006,24,1514,1
MCH-205,2021-09-18T03:19:47Z,94,168,0.01,21,1025,0
MCH-206,2022-03-04T07:26:17Z,82,181,0.01,24,1461,1
MCH-207,2019-06-05T10:07:50Z,93,179,0.011,22,1105,0
MCH-208,2022-09-13T22:45:12Z,88,186,0.012,19,1085,1
MCH-209,2021-09-08T07:06:19Z,87,190,0.007,25,1180,1
MCH-210,2022-03-25T05:34:28Z,92,172,0.002,23,1313,0
MCH-211,2022-09-14T01:52:03Z,90,168,0.005,26,1042,0
MCH-212,2019-10-26T17:29:03Z,89,168,0.008,23,1657,1
MCH-213,2019-05-25T23:09:01Z,87,183,0.009,23,1709,0
MCH-214,2023-06-23T14:37:23Z,83,187,0.004,25,1944,1
MCH-215,2021-06-03T09:12:45Z,84,178,0.012,19,1773,1
MCH-216,2019-09-12T17:06:49Z,84,175,0.006,22,1636,1
MCH-217,2020-12-24T05:37:42Z,93,172,0.01,20,1566,0
MCH-218,2019-11-01T09:37:28Z,87,185,0.007,21,1792,1
MCH-219,2019-10-06T23:50:53Z,87,183,0.003,19,1204,0
MCH-220,2021-07-20T23:08:52Z,94,182,0.007,25,1663,0
MCH-221,2022-12-13T23:19:43Z,93,180,0.006,27,1288,0
MCH-222,2022-03-19T16:58:39Z,89,182,0.01,22,1909,0
MCH-223,2023-10-28T22:05:00Z,94,176,0.004,25,1495,1
MCH-224,2019-05-27T05:33:18Z,90,189,0.003,19,1932,1
MCH-225,2023-05-12T05:59:55Z,88,173,0.009,21,1618,0
MCH-226,2019-08-09T00:03:00Z,93,180,0.005,19,1673,0
MCH-227,2023-03-02T22:55:24Z,83,187,0.008,22,1135,1
MCH-228,2020-02-04T13:52:48Z,89,177,0.009,20,1592,1
MCH-229,2022-04-06T17:31:10Z,93,189,0.002,21,1041,0
MCH-230,2021-03-18T00:41:26Z,92,188,0.009,26,1138,0
MCH-231,2021-05-22T14:49:06Z,94,175,0.003,24,1232,0
MCH-232,2022-03-05T05:39:04Z,90,186,0.003,20,1484,1
MCH-233,2023-06-16T20:06:01Z,94,184,0.004,19,1109,1
MCH-234,2022-05-27T03:08:07Z,94,189,0.005,24,1715,1
MCH-235,2019-05-15T12:03:51Z,93,178,0.005,26,1333,0
MCH-236,2023-05-28T19:25:04Z,93,190,0.004,23,1124,1
MCH-237,2019-05-09T08:39:12Z,83,180,0.002,27,1960,0
MCH-238,2021-07-18T03:25:41Z,83,178,0.006,26,1395,1
MCH-239,2023-07-08T19:38:43Z,94,174,0.007,27,1894,1
MCH-240,2023-02-06T08:14:04Z,88,186,0.01,18,1719,0
MCH-241,2022-09-10T21:18:08Z,84,181,0.009,19,1894,1
MCH-242,2022-10-24T20:50:50Z,89,172,0.006,19,1402,0
MCH-243,2023-04-05T20:33:06Z,89,179,0.011,26,1247,0
MCH-244,2021-09-15T20:37:22Z,94,173,0.005,22,1013,1
MCH-245,2020-03-28T22:44:04Z,94,169,0.004,25,1799,0
MCH-246,2020-06-23T19:12:21Z,88,183,0.003,25,1329,1
MCH-247,2021-03-19T02:28:11Z,92,176,0.009,27,1374,0
MCH-248,2022-01-03T12:42:27Z,94,174,0.007,18,1765,0
MCH-249,2019-08-27T01:28:38Z,93,180,0.011,27,1300,0
MCH-250,2019-01-28T00:34:54Z,87,174,0.009,20,1956,1
MCH-251,2021-08-16T16:00:36Z,89,182,0.011,22,1320,1
MCH-252,2019-08-24T11:33:12Z,88,185,0.007,27,1310,1
MCH-253,2020-10-14T03:55:31Z,83,182,0.012,18,1379,0
MCH-254,2021-06-12T00:58:39Z,89,188,0.005,22,1232,1
MCH-255,2022-01-12T09:28:19Z,85,171,0.009,24,1577,0
MCH-256,2023-12-17T19:30:05Z,81,175,0.008,24,1922,0
MCH-257,2021-05-05T06:19:33Z,88,171,0.003,27,1508,0
MCH-258,2020-02-19T10:28:36Z,87,188,0.01,25,1192,1
MCH-259,2022-07-01T19:06:43Z,94,182,0.004,26,1444,1
MCH-260,2020-02-24T04:07:31Z,82,183,0.011,19,1688,0
MCH-261,2019-01-17T03:58:26Z,83,174,0.008,21,1963,1
MCH-262,2020-12-16T13:03:40Z,93,168,0.006,26,1050,0
MCH-263,2021-11-04T19:50:32Z,86,186,0.006,22,1423,1
MCH-264,2021-03-28T13:20:58Z,92,175,0.002,26,1554,1
MCH-265,2023-11-08T03:04:11Z,93,171,0.006,22,1999,0
MCH-266,2020-06-13T08:57:10Z,93,179,0.007,27,1028,1
MCH-267,2022-11-23T07:52:41Z,86,184,0.006,20,1127,0
MCH-268,2023-03-13T07:26:36Z,91,170,0.006,27,1343,0
MCH-269,2023-09-28T08:00:11Z,87,171,0.007,19,1192,1
MCH-270,2023-05-09T03:48:22Z,83,174,0.006,27,1365,1
MCH-271,2019-03-15T01:49:43Z,81,176,0.002,19,1762,1
MCH-272,2019-08-26T22:02:17Z,81,187,0.003,25,1887,0
MCH-273,2021-01-13T20:07:07Z,89,171,0.002,20,1009,0
MCH-274,2023-08-11T17:43:28Z,90,174,0.004,25,1699,0
MCH-275,2020-04-24T05:58:14Z,94,190,0.005,22,1146,0
MCH-276,2022-04-12T02:41:02Z,84,189,0.01,25,1828,0
MCH-277,2021-12-10T08:36:45Z,90,170,0.004,27,1670,1
MCH-278,2020-08-17T07:36:32Z,82,169,0.01,26,1516,0
MCH-279,2019-10-16T12:44:09Z,89,181,0.007,24,1296,1
MCH-280,2020-07-16T14:37:06Z,92,173,0.007,18,1101,0
MCH-281,2021-05-15T03:00:14Z,94,189,0.01,26,1869,0
MCH-282,2020-12-26T17:31:34Z,86,180,0.008,24,1542,1
MCH-283,2020-09-24T19:15:15Z,82,185,0.012,23,1574,1
MCH-284,2020-05-12T14:05:38Z,86,182,0.003,27,1969,1
MCH-285,2020-09-04T18:19:32Z,94,175,0.011,21,1369,0
MCH-286,2020-06-06T23:44:39Z,83,182,0.006,25,1876,1
MCH-287,2022-04-28T04:52:18Z,89,190,0.005,26,1548,0
MCH-288,2021-01-19T05:47:54Z,81,176,0.012,23,1024,1
MCH-289,2022-07-26T14:53:48Z,81,188,0.011,19,1197,0
MCH-290,2023-08-25T01:59:44Z,84,171,0.011,26,1259,1
MCH-291,2023-03-01T21:56:49Z,86,186,0.01,21,1331,1
MCH-292,2022-08-20T14:36:29Z,92,179,0.004,18,1027,1
MCH-293,2021-06-22T22:14:08Z,92,186,0.006,24,1970,1
MCH-294,2019-01-19T16:23:25Z,94,186,0.008,23,1835,1
MCH-295,2022-11-09T05:43:14Z,89,182,0.007,19,1130,0
MCH-296,2022-08-15T03:47:22Z,86,178,0.004,24,1103,0
MCH-297,2022-03-01T00:14:16Z,88,182,0.01,22,1542,1
MCH-298,2023-01-09T09:49:20Z,88,175,0.005,25,1422,1
MCH-299,2020-12-05T21:03:14Z,89,182,0.007,27,1081,0
MCH-300,2020-12-14T09:04:35Z,89,172,0.007,20,1902,0
MCH-301,2021-02-19T14:58:16Z,89,168,0.003,20,1116,0
MCH-302,2021-11-08T23:43:30Z,91,190,0.004,18,1934,0
MCH-303,2021-11-09T03:11:23Z,94,177,0.005,24,1221,0
MCH-304,2019-11-05T20:03:04Z,92,173,0.005,19,1577,1
MCH-305,2021-02-14T23:19:40Z,87,190,0.012,25,1421,1
MCH-306,2021-12-11T08:07:58Z,82,179,0.01,22,1601,1
MCH-307,2021-06-07T18:50:35Z,84,172,0.007,25,1509,0
MCH-308,2023-10-02T09:27:24Z,87,187,0.006,24,1374,0
MCH-309,2022-01-25T18:43:28Z,91,184,0.002,21,1842,0
MCH-310,2019-12-01T08:44:35Z,92,178,0.007,26,1737,1
MCH-311,2020-11-27T18:18:14Z,82,174,0.006,20,1403,0
MCH-312,2020-01-23T14:37:04Z,82,190,0.007,26,1420,0
MCH-313,2020-12-15T17:54:20Z,83,179,0.007,22,1060,1
MCH-314,2022-07-22T13:06:41Z,84,170,0.005,20,1671,1
MCH-315,2020-12-27T13:29:35Z,81,169,0.009,24,1942,0
MCH-316,2019-12-26T13:46:53Z,90,170,0.005,20,1569,1
MCH-317,2021-04-20T03:04:00Z,84,183,0.003,27,1406,0
MCH-318,2021-10-11T13:10:04Z,82,179,0.011,27,1614,1
MCH-319,2021-03-25T07:26:08Z,89,178,0.008,18,1429,0
MCH-320,2023-07-07T16:54:01Z,82,190,0.012,27,1413,0
MCH-321,2019-02-24T09:55:16Z,85,181,0.011,23,1244,0
MCH-322,2019-11-27T04:19:25Z,86,172,0.006,22,1724,0
MCH-323,2022-01-20T05:28:38Z,94,183,0.009,20,1576,0
MCH-324,2022-06-24T03:37:42Z,93,189,0.004,27,1122,1
MCH-325,2019-03-27T18:35:01Z,93,173,0.01,22,1542,0
MCH-326,2023-01-03T03:10:29Z,93,185,0.01,24,1040,0
MCH-327,2019-10-21T19:32:15Z,88,190,0.004,20,1415,1
MCH-328,2022-03-19T01:55:23Z,92,189,0.009,27,1641,0
MCH-329,2020-09-17T19:43:23Z,93,170,0.005,22,1089,1
MCH-330,2021-02-21T04:13:58Z,86,186,0.007,23,1552,0
MCH-331,2020-09-11T03:48:39Z,82,178,0.012,23,1425,1
MCH-332,2023-03-13T04:27:35Z,86,181,0.004,26,1055,1
MCH-333,2021-03-09T04:20:22Z,92,171,0.01,20,1169,0
MCH-334,2020-05-15T06:47:49Z,90,190,0.011,24,1083,1
MCH-335,2020-03-19T01:38:28Z,90,171,0.008,20,1730,0
MCH-336,2021-11-27T19:29:37Z,92,190,0.003,24,1333,1
MCH-337,2023-07-25T00:33:04Z,88,184,0.007,18,1872,0
MCH-338,2019-07-07T06:36:19Z,81,178,0.008,19,1110,0
MCH-339,2021-02-13T07:50:39Z,93,185,0.008,18,1741,0
MCH-340,2023-05-11T08:36:30Z,90,186,0.008,22,1108,1
MCH-341,2022-01-28T17:47:19Z,87,183,0.011,21,1649,0
MCH-342,2021-05-13T18:24:03Z,82,176,0.003,24,1955,1
MCH-343,2023-08-01T07:49:29Z,87,180,0.008,22,1211,0
MCH-344,2023-07-18T09:10:23Z,84,190,0.005,22,1199,0
MCH-345,2021-09-08T19:34:17Z,83,181,0.005,24,1221,0
MCH-346,2023-08-02T06:03:31Z,86,169,0.004,22,2000,0
MCH-347,2020-05-09T09:40:14Z,88,173,0.008,25,1552,0
MCH-348,2023-02-11T08:06:36Z,86,171,0.007,26,1406,0
MCH-349,2022-08-07T11:25:08Z,83,180,0.003,21,1525,0
MCH-350,2021-06-23T13:02:13Z,87,170,0.008,20,1151,0
MCH-351,2019-12-20T22:17:41Z,94,177,0.01,21,1703,1
MCH-352,2021-02-17T08:23:47Z,87,182,0.004,22,1741,0
MCH-353,2019-01-23T19:37:23Z,87,169,0.006,23,1432,0
MCH-354,2022-01-19T15:20:12Z,85,190,0.012,19,1480,1
MCH-355,2021-05-17T20:46:35Z,81,174,0.009,21,1071,1
MCH-356,2020-08-25T16:53:06Z,89,171,0.003,24,1117,1
MCH-357,2019-02-27T12:09:15Z,84,172,0.004,23,1882,0
MCH-358,2023-02-07T19:56:20Z,88,179,0.004,24,1979,0
MCH-359,2020-03-05T13:22:00Z,87,171,0.004,26,1671,1
MCH-360,2023-07-22T10:08:37Z,83,187,0.005,22,1465,0
MCH-361,2021-08-25T18:08:01Z,85,183,0.009,19,1978,1
MCH-362,2021-05-23T19:02:43Z,83,182,0.004,26,1326,1
MCH-363,2020-04-12T03:55:28Z,85,173,0.006,21,2000,1
MCH-364,2020-02-09T22:52:20Z,83,190,0.003,25,1203,1
MCH-365,2022-06-08T09:35:26Z,86,168,0.01,22,1440,1
MCH-366,2019-10-06T15:50:59Z,91,176,0.003,21,1157,1
MCH-367,2021-07-18T02:02:41Z,85,175,0.003,18,1743,1
MCH-368,2020-09-25T13:55:01Z,85,172,0.01,21,1008,1
MCH-369,2020-04-14T21:18:23Z,83,177,0.011,18,1101,1
MCH-370,2020-05-17T14:14:17Z,90,175,0.007,22,1704,1
MCH-371,2021-09-26T09:16:08Z,90,175,0.012,19,1655,1
MCH-372,2021-09-21T21:06:24Z,86,184,0.011,25,1276,0
MCH-373,2022-11-01T13:15:30Z,90,186,0.009,21,1697,0
MCH-374,2022-09-19T14:32:47Z,81,176,0.009,24,1763,0
MCH-375,2023-06-09T12:16:27Z,93,168,0.012,26,1849,1
MCH-376,2020-10-28T22:36:55Z,92,188,0.004,19,1372,1
MCH-377,2023-07-14T20:59:05Z,81,182,0.005,24,1947,1
MCH-378,2019-01-27T00:28:40Z,88,180,0.006,21,1750,0
MCH-379,2019-11-24T04:01:56Z,82,188,0.006,18,1012,1
MCH-380,2021-09-01T05:26:13Z,82,169,0.006,25,1162,0
MCH-381,2019-04-16T11:47:32Z,86,180,0.006,19,1548,0
MCH-382,2021-12-03T07:16:18Z,90,172,0.005,19,1686,0
MCH-383,2022-09-15T00:36:33Z,84,184,0.007,27,1697,1
MCH-384,2023-07-21T00:42:26Z,91,181,0.009,19,1711,1
MCH-385,2019-03-03T10:56:38Z,88,173,0.003,24,1122,0
MCH-386,2023-05-17T23:13:56Z,86,172,0.007,21,1043,0
